gene,importance
ST3GAL5,0.00013617347930327997
STEAP2,0.0001352773314554299
ASCL1,0.00013490649582605286
SYNPO,0.0001345179381826542
RAB34,0.00013425653376121955
TCF7,0.00013386791832808997
DENND1C,0.00013129454916693627
SPHK1,0.00013065710147603705
ADGRL4,0.00012953617855686163
SULT2B1,0.0001292904360063461
ITGA6,0.0001292902345030057
TIGAR,0.00012887287837401673
UACA,0.00012826850887249157
CADM3,0.0001271865381109325
GRK5,0.00012713847266036406
ABCA9,0.0001267542588219632
CAV2,0.00012549857276680448
PCDH18,0.0001254512125189977
NFIA,0.0001250718697291339
APBB1,0.00012431268345620042
S1PR1,0.0001242388342657124
CYGB,0.00012423419628061503
SNX19,0.00012373226740260425
CD19,0.0001235127661888891
CPLX1,0.00012329501514490084
SPON1,0.00012247143289429729
ANK2,0.00012198657872629301
VASN,0.00012192972421365742
C1QTNF1,0.0001219047080761977
IGHGP,0.0001206573582750149
ELK3,0.00012004369377280613
HIC1,0.00011948797412948515
ASPN,0.00011920493354633302
OAF,0.00011890886168759773
CAV1,0.00011853670254604443
NR2F1,0.00011806467252683494
S100A2,0.00011800028508857053
LILRB2,0.00011798431514649138
CCL14,0.00011788091088022071
LOX,0.00011758082158363504
TPSAB1,0.00011755458872604619
FGD2,0.00011730278502134599
ACVRL1,0.00011629856717066715
ATR,0.00011624500007998755
HEYL,0.00011516298817097919
NDP,0.00011509004318993229
FCGR1A,0.00011419356744997398
DPT,0.00011391812842506334
PLXDC1,0.00011332723034759356
CLDN15,0.00011234086783424556
CCDC102B,0.00011182486152762664
PALMD,0.00011078822226482751
IGLC7,0.00011076349658630594
TRPV2,0.00010964967286245612
CPXM1,0.00010779184997699779
RAI14,0.00010694211309998674
ARID4A,0.00010654453371050204
DPP4,0.00010637686561211023
CCN4,0.0001053741752717158
HOOK3,0.00010523695638668756
SCUBE3,0.00010495553063847554
S100A8,0.00010491061499275259
ICAM2,0.00010411978172447774
CHIT1,0.00010389973432776673
CILP,0.00010360751609009053
ADAMTS12,0.00010355933077651267
CYTH3,0.00010346387949925003
IGHA2,0.00010284731726658722
MMP28,0.00010280431585585631
AL365361.1,0.0001027247956578725
PGF,0.00010251586363949544
ADCY3,0.00010222723612438102
FHL1,0.00010184784872856008
SLC15A2,0.00010147454738662012
NT5E,0.00010147306236978658
SOCS5,0.00010101134012626091
ADGRF5,0.00010078061773175546
MAP2K3,0.00010051127098473078
HMGXB4,0.00010023090158127812
KRBA1,0.00010016712776115759
CXCL11,9.994881527751603e-05
KCNK6,9.934844236392e-05
SH3D19,9.92622439861058e-05
SPTSSB,9.787825204917141e-05
REEP2,9.77032886327417e-05
NES,9.706452482855338e-05
SHE,9.697349400651727e-05
PTPRK,9.681527989275357e-05
LY75,9.662307978035666e-05
PLAT,9.621699441260311e-05
CCL4,9.595089966986884e-05
KRT17,9.587253547159879e-05
PPP1R12B,9.535531038718518e-05
GNG11,9.533362586983417e-05
PAPLN,9.52088242906849e-05
CFAP69,9.460089880325446e-05
LINC01503,9.425987812694583e-05
MYO10,9.412798030255487e-05
SNX33,9.409195579434226e-05
SMIM25,9.359624631374853e-05
TMEM91,9.352172673165825e-05
ESAM,9.312368270083828e-05
RNF145,9.301703297651298e-05
SEC23A,9.277568236393831e-05
JSRP1,9.27113445544458e-05
NR4A2,9.22026416976696e-05
MCAM,9.213174329377007e-05
ADAMTS1,9.169932769728785e-05
LPP,9.144587842813429e-05
C7,9.143299857223348e-05
MSMB,9.073071059573802e-05
GRASP,9.010921855660374e-05
CES1,8.926439451904733e-05
FLNC,8.901013783899555e-05
DNAJC21,8.887255848936901e-05
ITGA1,8.853645030988157e-05
PTPRB,8.852219124104059e-05
IL18BP,8.843828480266523e-05
ARMCX2,8.793356174920247e-05
VMO1,8.780910963052532e-05
LTF,8.757249924691788e-05
RPUSD4,8.625716526669276e-05
CCL22,8.611584614087843e-05
SH2D1A,8.604624736425089e-05
NFIX,8.590506952143628e-05
RPS6KA2,8.523797145214615e-05
TNFRSF6B,8.450570585177065e-05
PROS1,8.435986945698354e-05
ZNF506,8.397959424386583e-05
RIPOR2,8.387453849015008e-05
ZBTB18,8.358240466754023e-05
LPCAT4,8.268945314855903e-05
ANKRD44,8.24274135901133e-05
SERPINE1,8.220559238917575e-05
RASA3,8.205453085611129e-05
ZNF282,8.19806965232304e-05
PIP,8.181833122438281e-05
CD34,8.172197643954905e-05
IL33,8.171848155701443e-05
CD79B,8.139238265425658e-05
TNC,8.136076527316899e-05
FABP4,8.118304059598993e-05
KIRREL1,8.110717215325254e-05
AP000525.1,8.040009477201179e-05
TM2D2,8.023095467491621e-05
ADAM28,7.971788468446032e-05
PPP1R14A,7.964215832934853e-05
VHL,7.808399266889645e-05
ZBTB2,7.77413695025913e-05
SYCE1L,7.755727223731014e-05
CDH5,7.752626056771851e-05
CASC15,7.71040428393633e-05
COL5A3,7.708582196674677e-05
PTPRE,7.703289087782732e-05
SEC14L2,7.70318564861131e-05
SOCS3,7.697438174489363e-05
TLCD2,7.689724011796489e-05
DYNC2H1,7.671071277175742e-05
